Nível;Indicador;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;Unidade
1;Veículo;15098096;16464703;17852829;19139118;20537980;21968359;23286890;24560202;25718248;26605042;27332101;28138698;29057749;30058975;30778960;31455473;32293191;33264096;veículos
1.1;Tipo;;;;;;;;;;;;;;;;;;;
1.1.1;Automóvel;10294811;11014104;11753856;12536177;13334875;14108047;14880771;15643415;16319980;16834630;17247124;17719258;18230138;18753364;19089286;19305526;19632285;20032335;veículos
1.1.2;Bonde;83;79;72;53;49;44;29;27;26;26;25;24;24;24;24;24;24;24;veículos
1.1.3;Caminhão;490455;513029;538356;557795;582761;609154;626913;643241;658713;664617;669056;672998;678933;688249;695695;704140;714124;723325;veículos
1.1.4;Caminhão trator;71656;78728;88489;96604;110929;124667;134270;146455;155801;159401;162501;166127;172675;182309;190333;202701;212151;219377;veículos
1.1.5;Caminhonete;577068;737022;1010938;1108282;1226218;1355274;1470277;1583988;1692250;1763148;1825129;1891625;1963608;2049856;2112739;2177477;2238846;2332606;veículos
1.1.6;Camioneta;799719;743996;596354;639500;699225;776452;851860;930126;999330;1055596;1105626;1156884;1227622;1288212;1326476;1368114;1425824;1495118;veículos
1.1.7;Chassi plataforma;2211;2192;1936;1544;1366;1231;1141;791;694;640;628;601;587;568;566;558;550;546;veículos
1.1.8;Ciclomotor;48621;48669;48678;48744;48805;48975;49342;49792;50147;51311;53318;54904;56140;57000;57660;59006;61729;67533;veículos
1.1.9;Micro-ônibus;67931;72196;77605;82893;89639;96779;102443;107706;113446;116617;118291;119244;121007;124166;125744;125970;127365;129488;veículos
1.1.10;Motocicleta;2021632;2424315;2799821;3048682;3322544;3603776;3811101;3978276;4133366;4268872;4378772;4493255;4634274;4809244;4951261;5119480;5324332;5538201;veículos
1.1.11;Motoneta;320110;383655;438628;480841;530436;588221;644480;696663;751108;795579;828036;864997;908868;961787;1006524;1076795;1153959;1232175;veículos
1.1.12;Ônibus;102322;109745;117235;121105;126880;134659;140654;145166;150518;153113;155317;156750;159712;164507;167544;168738;170112;173461;veículos
1.1.13;Quadriciclo;55;55;56;56;57;57;57;57;56;57;58;74;80;81;86;86;93;103;veículos
1.1.14;Reboque;155200;165741;175496;185794;198919;213908;230255;249929;269368;287870;307126;327355;349505;373336;398052;426250;450997;477360;veículos
1.1.15;Semi-reboque;117312;128867;143142;153620;169719;186245;199769;215771;227255;232605;236654;241703;249985;261226;273557;292149;307131;323590;veículos
1.1.16;Sidecar;1648;1805;1885;1890;1900;1915;1916;1917;1915;1913;1914;1911;1911;1911;1913;1917;1924;1930;veículos
1.1.17;Trator de esteira;31;34;36;41;50;55;58;58;58;58;58;58;58;57;55;55;55;55;veículos
1.1.18;Trator de rodas;4914;5329;6110;6812;7847;8922;9511;9882;10213;10500;10695;10824;10972;11347;11664;11994;12456;13159;veículos
1.1.19;Triciclo;767;818;1034;1250;1696;2181;2762;3172;3539;3993;4476;4861;5277;5664;6013;6487;6921;7205;veículos
1.1.20;Utilitário;21088;33988;52659;66822;83228;106796;128127;152404;178842;202566;225204;253021;283924;323469;361032;404646;448002;491552;veículos
1.1.21;Outros;462;336;443;613;837;1001;1154;1366;1623;1930;2093;2224;2449;2598;2736;3360;4311;4953;veículos



Fonte: Ministério dos Transportes, SENATRAN - Secretaria Nacional de Trânsito - 2022
